exercise,frame,elbow_angle
bicep_curl,0,165.29393750729687
bicep_curl,1,164.5733103280914
bicep_curl,2,163.12110448649273
bicep_curl,3,166.96274062603055
bicep_curl,4,166.69177886370449
bicep_curl,5,167.303032911959
bicep_curl,6,166.6190067972638
bicep_curl,7,167.0540938127124
bicep_curl,8,166.97265851915085
bicep_curl,9,166.78547559517153
bicep_curl,10,166.55273061211378
bicep_curl,11,166.40615263800552
bicep_curl,12,166.3376830888476
bicep_curl,13,166.40018929268064
bicep_curl,14,166.87847656450228
bicep_curl,15,165.98067292318996
bicep_curl,16,163.1074966903565
bicep_curl,17,161.91526394875507
bicep_curl,18,161.63928360714664
bicep_curl,19,161.22551299648174
bicep_curl,20,160.4894398370829
bicep_curl,21,159.57461888560061
bicep_curl,22,159.61927795148284
bicep_curl,23,158.99809508782417
bicep_curl,24,158.55369471936464
bicep_curl,25,158.3211275708667
bicep_curl,26,159.16045883385408
bicep_curl,27,158.28154969353903
bicep_curl,28,155.97907301996125
bicep_curl,29,156.77647910175
bicep_curl,30,157.84406404414932
bicep_curl,31,157.91382085623445
bicep_curl,32,158.37745389582648
bicep_curl,33,157.28310180294076
bicep_curl,34,159.2339573147091
bicep_curl,35,162.5478037863746
bicep_curl,36,164.8599479973195
bicep_curl,37,165.5164786865777
bicep_curl,38,141.2611918346572
bicep_curl,39,159.70865581577056
bicep_curl,40,128.7654370825034
bicep_curl,41,145.87661221398176
bicep_curl,42,149.53735471323336
bicep_curl,43,151.67777642810216
bicep_curl,44,162.37168205263447
bicep_curl,45,170.79389401352591
bicep_curl,46,166.01514066585966
bicep_curl,47,166.32577601404824
bicep_curl,48,165.13150796545662
bicep_curl,49,170.79565072534777
bicep_curl,50,172.73738024683365
bicep_curl,51,178.49908759292867
bicep_curl,52,179.07161208004413
bicep_curl,53,178.92542816287465
bicep_curl,54,175.23988270475783
bicep_curl,55,174.34867913166002
bicep_curl,56,177.10428448896212
bicep_curl,57,177.16358770956796
bicep_curl,58,179.33038508879298
bicep_curl,59,179.15581434529506
bicep_curl,60,163.54225682341988
bicep_curl,61,158.56221198449646
bicep_curl,62,172.0492264131461
bicep_curl,63,178.798916918986
bicep_curl,64,168.8457715549415
bicep_curl,65,160.7420191488721
bicep_curl,66,163.2018462572372
bicep_curl,67,161.1437639822412
bicep_curl,68,172.3553820769314
bicep_curl,69,47.73808928346703
bicep_curl,70,135.730198978537
bicep_curl,71,140.26417080347164
bicep_curl,72,151.56240843241721
bicep_curl,73,153.1092090178096
bicep_curl,74,155.6374761038305
bicep_curl,75,156.36563854857766
bicep_curl,76,160.38524215907577
bicep_curl,77,161.417173566636
bicep_curl,78,161.31434254470844
bicep_curl,79,161.3117623605553
bicep_curl,80,163.66153720484866
bicep_curl,81,162.0916231974569
bicep_curl,82,164.1892717390935
bicep_curl,83,163.7376450727845
bicep_curl,84,165.1062407138161
bicep_curl,85,166.2514749478331
bicep_curl,86,166.89784359165404
bicep_curl,87,167.91370814268558
bicep_curl,88,166.07929521768236
bicep_curl,89,165.27643209265372
bicep_curl,90,164.85542091005541
bicep_curl,91,165.4047983396735
bicep_curl,92,165.2671148963688
bicep_curl,93,165.93271850077917
bicep_curl,94,165.8943397354652
bicep_curl,95,166.48201810982025
bicep_curl,96,166.29421035153848
bicep_curl,97,167.25064549241912
bicep_curl,98,169.73015666271354
bicep_curl,99,171.62172764390957
bicep_curl,100,170.4214848243143
bicep_curl,101,170.57317131553216
bicep_curl,102,169.8491879633354
bicep_curl,103,168.04923964963436
bicep_curl,104,167.73821114431897
bicep_curl,105,166.28148987546308
bicep_curl,106,165.74986174508095
bicep_curl,107,165.60031557756778
bicep_curl,108,163.16068543615486
bicep_curl,109,163.44062120004205
bicep_curl,110,163.3499105917124
bicep_curl,111,162.64783863312238
bicep_curl,112,162.01451130041173
bicep_curl,113,160.97093822978277
bicep_curl,114,160.482936658404
bicep_curl,115,163.66656646210086
bicep_curl,116,164.006004479843
bicep_curl,117,163.9516041197838
bicep_curl,118,165.38081923993835
bicep_curl,119,164.67142408678308
bicep_curl,120,164.34276555097165
bicep_curl,121,164.15596540887915
bicep_curl,122,161.65006339908473
bicep_curl,123,161.2498422993843
bicep_curl,124,160.99261501271505
bicep_curl,125,158.04310511408684
bicep_curl,126,154.591715108255
bicep_curl,127,154.02047803159908
bicep_curl,128,155.43385623854797
bicep_curl,129,155.37867265943913
bicep_curl,130,161.24456089481282
bicep_curl,131,157.94873066980884
bicep_curl,132,154.2952390630593
bicep_curl,133,157.92580587168635
bicep_curl,134,158.6068872853812
bicep_curl,135,166.43221850544592
bicep_curl,136,166.98299865207017
bicep_curl,137,166.35348031799424
bicep_curl,138,157.3774426888742
bicep_curl,139,159.52792346913444
bicep_curl,140,163.11010511712166
bicep_curl,141,164.81196506054704
bicep_curl,142,164.91577208050276
bicep_curl,143,162.1393528676647
bicep_curl,144,156.66960376725004
bicep_curl,145,174.17300671115262
bicep_curl,146,40.257435891823306
bicep_curl,147,44.46742063068741
bicep_curl,148,39.06982169034822
bicep_curl,149,169.9050627979421
bicep_curl,150,164.48189280202712
bicep_curl,151,43.41295441339721
bicep_curl,152,45.30510762452523
bicep_curl,153,47.175154796183435
bicep_curl,154,45.362353576086804
bicep_curl,155,21.16960023065805
bicep_curl,156,26.448395122827584
bicep_curl,157,154.2409685224696
bicep_curl,158,172.8391276424273
bicep_curl,159,178.24940185173173
bicep_curl,160,168.82981028497332
bicep_curl,161,155.89849434864612
bicep_curl,162,131.27835393414063
bicep_curl,163,147.57502161441514
bicep_curl,164,44.712647810471545
bicep_curl,165,35.68308662514694
bicep_curl,166,130.78000816422306
bicep_curl,167,146.28354314183412
bicep_curl,168,157.25576906420747
bicep_curl,169,164.23034326705152
bicep_curl,170,166.48907549562188
bicep_curl,171,171.66741930126187
bicep_curl,172,103.91338367003812
bicep_curl,173,168.6498492059441
bicep_curl,174,143.60153054737054
bicep_curl,175,172.17696369352518
bicep_curl,176,177.96407681327128
bicep_curl,177,98.58019273010068
bicep_curl,178,175.47252986827402
bicep_curl,179,81.9789687499109
bicep_curl,180,63.97673008156921
bicep_curl,181,77.6045344213401
bicep_curl,182,86.50498571995139
bicep_curl,183,74.56174832715884
bicep_curl,184,79.87964666495829
bicep_curl,185,75.81205704429622
bicep_curl,186,68.73665517657652
bicep_curl,187,60.31615349901065
bicep_curl,188,55.159680123747144
bicep_curl,189,53.026413189460015
bicep_curl,190,48.781707252653305
bicep_curl,191,53.91320039179138
bicep_curl,192,159.42986330898384
bicep_curl,193,125.65190618215084
bicep_curl,194,60.81222678014315
bicep_curl,195,61.11781419353133
bicep_curl,196,69.1492315401338
bicep_curl,197,57.300523615394056
bicep_curl,198,54.070674679922064
bicep_curl,199,177.84220791127393
bicep_curl,200,54.38822909259005
bicep_curl,201,171.3961648983103
bicep_curl,202,171.27720351004274
bicep_curl,203,163.9425011347584
bicep_curl,204,164.4772094978195
bicep_curl,205,178.41425157795092
bicep_curl,206,174.70126962213294
bicep_curl,207,169.346379117474
bicep_curl,208,166.1026139478438
bicep_curl,209,170.95850871647576
bicep_curl,210,29.35712386742005
bicep_curl,211,147.16806521152762
bicep_curl,212,156.2138909473407
bicep_curl,213,158.7244561102119
bicep_curl,214,157.4283744383762
bicep_curl,215,35.20710185950144
bicep_curl,216,174.54417842255197
bicep_curl,217,176.84570597460765
bicep_curl,218,162.8115101748889
bicep_curl,219,168.27003888026508
bicep_curl,220,168.41931365286544
bicep_curl,221,168.21994228685077
bicep_curl,222,168.12300136809827
bicep_curl,223,167.76247037468713
bicep_curl,224,167.42610010942195
bicep_curl,225,167.1577777042129
bicep_curl,226,167.0528381229713
bicep_curl,227,167.86303148247632
bicep_curl,228,168.33491771935297
bicep_curl,229,167.7694082185974
bicep_curl,230,167.5011554584717
bicep_curl,231,168.10987238176642
bicep_curl,232,168.6076036101882
bicep_curl,233,167.72704840511634
bicep_curl,234,166.18859698255307
bicep_curl,235,166.6472776381017
bicep_curl,236,165.7705474864278
bicep_curl,237,165.99295838453259
bicep_curl,238,165.69110509601055
bicep_curl,239,164.2206467644233
bicep_curl,240,162.8043450917467
bicep_curl,241,159.43084848796354
bicep_curl,242,161.30565216741905
bicep_curl,243,161.03832259660362
bicep_curl,244,161.29204026063817
bicep_curl,245,161.24695081985632
bicep_curl,246,161.27426073619594
bicep_curl,247,161.71849898606337
bicep_curl,248,162.26912752247569
bicep_curl,249,160.11608235232205
bicep_curl,250,159.38981164705027
bicep_curl,251,155.97753418490768
bicep_curl,252,157.41161568676227
bicep_curl,253,157.21370331997622
bicep_curl,254,157.26633437707625
bicep_curl,255,154.13947955783908
bicep_curl,256,154.0124261236627
bicep_curl,257,154.55993262831547
bicep_curl,258,155.2490372395323
bicep_curl,259,157.31825829511928
bicep_curl,260,159.75584641233755
bicep_curl,261,164.35687789144814
bicep_curl,262,169.1628378934233
bicep_curl,263,169.342305168895
bicep_curl,264,168.73755654335517
bicep_curl,265,168.0520631185733
bicep_curl,266,165.70183804360386
bicep_curl,267,159.83696964487862
bicep_curl,268,157.32159485714084
bicep_curl,269,158.0079727621246
bicep_curl,270,157.92147816746225
bicep_curl,271,158.59725756054746
bicep_curl,272,158.9821537486575
bicep_curl,273,157.4001780956862
bicep_curl,274,154.87233128471456
bicep_curl,275,152.1333556305736
bicep_curl,276,153.2970434884053
bicep_curl,277,153.7580160570623
bicep_curl,278,154.63439058155188
bicep_curl,279,155.9420643875609
bicep_curl,280,157.33079440950507
bicep_curl,281,158.58810178476085
bicep_curl,282,158.2084835759136
bicep_curl,283,156.60537623000474
bicep_curl,284,155.3898431888671
bicep_curl,285,144.89524335301448
bicep_curl,286,149.49947660993587
bicep_curl,287,150.87071298644145
bicep_curl,288,155.6286438284551
bicep_curl,289,159.89669022639345
bicep_curl,290,161.1220561430397
bicep_curl,291,164.1498139362262
bicep_curl,292,163.9544688083501
bicep_curl,293,166.06846699337913
bicep_curl,294,165.71622588834404
bicep_curl,295,165.17894232351574
bicep_curl,296,166.1410273152357
bicep_curl,297,166.34996086681628
bicep_curl,298,163.87328965676596
bicep_curl,299,144.6004398585254
bicep_curl,300,150.80116482369527
bicep_curl,301,162.6190696181539
bicep_curl,302,167.15060749437063
bicep_curl,303,165.27832204014751
bicep_curl,304,167.62962933012614
bicep_curl,305,170.39311267230013
bicep_curl,306,170.14051359402353
bicep_curl,307,170.7229631621638
bicep_curl,308,171.86929419362136
bicep_curl,309,173.31614635323777
bicep_curl,310,169.42234143160914
bicep_curl,311,167.69723897277657
bicep_curl,312,166.84105315739117
bicep_curl,313,165.28469618573757
bicep_curl,314,162.7369017995868
bicep_curl,315,163.04195958759757
bicep_curl,316,163.1128553523848
bicep_curl,317,165.0702336912324
bicep_curl,318,176.64374859887675
bicep_curl,319,91.02109788779057
bicep_curl,320,178.6185594010684
bicep_curl,321,178.28468976991738
bicep_curl,322,175.96212620321145
bicep_curl,323,173.53129509948442
bicep_curl,324,172.38433924200592
bicep_curl,325,168.0623166574645
bicep_curl,326,163.29207331657253
bicep_curl,327,163.32071121681884
bicep_curl,328,162.9767858321046
bicep_curl,329,163.22053930222913
bicep_curl,330,169.68381023206604
bicep_curl,331,168.62719150464537
bicep_curl,332,166.53255871781414
bicep_curl,333,164.50453384655233
bicep_curl,334,161.4780227999124
bicep_curl,335,161.18310761171577
bicep_curl,336,164.20394458572568
bicep_curl,337,162.09638858137868
bicep_curl,338,160.73333005706297
bicep_curl,339,166.9995758140653
bicep_curl,340,161.97059039307823
bicep_curl,341,160.19587502371684
bicep_curl,342,152.58187500996436
bicep_curl,343,152.8108245223372
bicep_curl,344,156.5788188793911
bicep_curl,345,156.99208310831042
bicep_curl,346,152.81714538209053
bicep_curl,347,140.71397531446732
bicep_curl,348,144.42512910053588
bicep_curl,349,118.87167239230132
bicep_curl,350,151.57949832474623
bicep_curl,351,163.5800075633853
bicep_curl,352,160.29471144321295
bicep_curl,353,156.95913560672886
bicep_curl,354,143.71293448885666
bicep_curl,355,145.2068065763028
bicep_curl,356,154.72837548785932
bicep_curl,357,157.35053037898675
bicep_curl,358,157.4884132943432
bicep_curl,359,160.18006439818026
bicep_curl,360,163.28628739218166
bicep_curl,361,162.39155029504872
bicep_curl,362,159.29648896384987
bicep_curl,363,158.17539613540757
bicep_curl,364,151.77640426167193
bicep_curl,365,155.9745809081257
bicep_curl,366,160.4791851486225
bicep_curl,367,164.52170417907794
bicep_curl,368,165.98358676666035
bicep_curl,369,166.35052744316724
bicep_curl,370,167.126315187611
bicep_curl,371,164.89003198445874
bicep_curl,372,165.34523274849593
bicep_curl,373,164.26787985530436
bicep_curl,374,164.81074212933214
bicep_curl,375,165.81764692596713
bicep_curl,376,165.50238060998407
bicep_curl,377,163.7433518298654
bicep_curl,378,163.78873498373565
bicep_curl,379,163.45699753931652
bicep_curl,380,162.86737561078965
bicep_curl,381,158.42250821370385
bicep_curl,382,157.7999969238918
bicep_curl,383,158.56486320002125
bicep_curl,384,160.80062364990414
bicep_curl,385,165.0968657155446
